Title,Description,Priority,Status,Labels,Estimate,Project
[E7-2] Job-Queue für Provisioning,"Als System möchte ich Jobs in einer Queue verarbeiten.

**Akzeptanzkriterien:**
- Redis/RabbitMQ Worker
- Retry + Dead-Letter Queue

**Referenz:** Prototyp-ID `E7-2`",Urgent,Backlog,backend;infrastructure,5,E7 PBX Provisioning Adapter
[E7-3] desired_state vs actual_state,"Als System möchte ich desired_state vs actual_state speichern.

**Akzeptanzkriterien:**
- Drift in UI anzeigbar
- provision_jobs Tabelle

**Referenz:** Prototyp-ID `E7-3`",Urgent,Backlog,backend;database,3,E7 PBX Provisioning Adapter
[E7-4] Mock-Adapter für Dev/CI,"Als Entwickler möchte ich einen Mock-Adapter für lokale Entwicklung.

**Akzeptanzkriterien:**
- Ersetzt PBX in Dev/CI
- Contract-Tests gegen Interface

**Referenz:** Prototyp-ID `E7-4`",Urgent,Backlog,backend;testing;dx,5,E7 PBX Provisioning Adapter
[E8-1] Prototyp nach Vite migrieren,"Als Entwickler möchte ich den Prototyp in ein Vite-Projekt überführen.

**Akzeptanzkriterien:**
- css/, js/, i18n/ Struktur
- Role Bar für Dev erhalten

**Referenz:** Prototyp-ID `E8-1`",Urgent,Backlog,frontend;dx,13,E8 Frontend-Migration
[E8-2] Mobile Benutzerportal,"Als Endnutzer möchte ich das Benutzerportal mobil nutzen.

**Akzeptanzkriterien:**
- Bottom-Nav ≤768px wie Prototyp
- Responsive Layout

**Referenz:** Prototyp-ID `E8-2`",Urgent,Backlog,frontend;user-portal,5,E8 Frontend-Migration
[E8-3] API-Client statt showToast,"Als Entwickler möchte ich API-Calls für MVP-Flows.

**Akzeptanzkriterien:**
- Fehlerbehandlung und Loading-States
- Kein showToast für Persistenz

**Referenz:** Prototyp-ID `E8-3`",Urgent,Backlog,frontend;api,5,E8 Frontend-Migration
[E8-4] Hilfe/Tutorials beibehalten,"Als Endnutzer möchte ich Hilfe/Tutorials weiter nutzen.

**Akzeptanzkriterien:**
- Statische Tutorials clientseitig
- i18n für Tutorial-Texte

**Referenz:** Prototyp-ID `E8-4`",Medium,Backlog,frontend;user-portal,3,E8 Frontend-Migration
[H-1] E2E-Tests Kernflows,"End-to-End Tests für Login, Forwarding, User CRUD, CDR.

**Akzeptanzkriterien:**
- Mindestens 1 E2E pro Epic E1–E5
- Läuft in CI

**Referenz:** Prototyp-ID `H-1`",Urgent,Backlog,testing;qa,8,Hardening & Pilot
[H-2] Mandanten-Isolation Security-Tests,"Verifizieren dass Cross-Tenant-Zugriff unmöglich ist.

**Akzeptanzkriterien:**
- Automatisierte Tests für 403-Szenarien
- Pen-Test light

**Referenz:** Prototyp-ID `H-2`",Urgent,Backlog,security;testing,5,Hardening & Pilot
[H-3] Pilot-Mandant Go-Live,"1 Pilot-Mandant mit 20–50 Usern produktiv schalten.

**Akzeptanzkriterien:**
- Runbook für Support
- Monitoring-Dashboard
- Rollback-Plan

**Referenz:** Prototyp-ID `H-3`",Urgent,Backlog,devops;pilot,5,Hardening & Pilot
[P2-1] Hunt Groups & Queues,"Hunt Groups und Warteschlangen verwalten

**Referenz:** `P2-1` — Phase 2, nicht MVP",Medium,Backlog,phase-2,13,Phase 2
[P2-2] Geräte-Provisioning,"TENANT_DEVICES, Firmware, TR-069

**Referenz:** `P2-2` — Phase 2, nicht MVP",Medium,Backlog,phase-2,13,Phase 2
[P2-3] Adressbuch + LDAP,"Adressbuch mit LDAP/365-Sync

**Referenz:** `P2-3` — Phase 2, nicht MVP",Medium,Backlog,phase-2,8,Phase 2
[P2-4] Shop & Orders,"Nummernshop und Bestellungen

**Referenz:** `P2-4` — Phase 2, nicht MVP",Medium,Backlog,phase-2,13,Phase 2
[P2-5] Super-Admin Billing,"Mandanten und Billing-Übersicht

**Referenz:** `P2-5` — Phase 2, nicht MVP",Medium,Backlog,phase-2,13,Phase 2
[P2-6] Service Management Trunks,"TRUNKS und Traffic-Monitoring

**Referenz:** `P2-6` — Phase 2, nicht MVP",Medium,Backlog,phase-2,8,Phase 2
[P2-7] Voicemail Audio & Recording,"Audio-Wiedergabe und Aufnahme Self-Service

**Referenz:** `P2-7` — Phase 2, nicht MVP",Medium,Backlog,phase-2,8,Phase 2
[P2-8] Persönliche Anruffilter,"up-settings Filterlisten

**Referenz:** `P2-8` — Phase 2, nicht MVP",Medium,Backlog,phase-2,5,Phase 2
