ID,Type,Epic,Title,Description,Acceptance Criteria,Priority,Story Points,Sprint,Labels,Linear Priority,Status,Project
E4-4,Story,E4 Voicemail,Voicemail-Audio abspielen,Als Endnutzer möchte ich Voicemail-Audio abspielen.,"- Streaming aus Object Storage
- Optional Phase 2 wenn PBX-API fehlt",P2,5,6,"frontend,voicemail,storage",Medium,Backlog,E4 Voicemail
E5-1,Story,E5 Tenant Benutzerverwaltung,Benutzerliste mit Suche und Filter,Als Tenant-Admin möchte ich alle Benutzer des Mandanten listen und filtern.,"- Suche Name/E-Mail/Durchwahl
- Pagination",P0,5,5,"frontend,backend,tenant-admin",Urgent,Backlog,E5 Tenant Benutzerverwaltung
E5-2,Story,E5 Tenant Benutzerverwaltung,Benutzerdetail mit Geräten,Als Tenant-Admin möchte ich Benutzerdetails inkl. Geräte und SIP-Status sehen.,"- Read-only Geräteliste wie Prototyp
- SIP registration_status",P0,3,5,"frontend,tenant-admin",Urgent,Backlog,E5 Tenant Benutzerverwaltung
E5-3,Story,E5 Tenant Benutzerverwaltung,Benutzer anlegen,Als Tenant-Admin möchte ich einen Benutzer anlegen.,"- Name, E-Mail, Durchwahl, Rolle
- Extension in DB + PBX Provision-Job",P0,8,5,"backend,tenant-admin,integration",Urgent,Backlog,E5 Tenant Benutzerverwaltung
E5-4,Story,E5 Tenant Benutzerverwaltung,Benutzer deaktivieren,Als Tenant-Admin möchte ich einen Benutzer deaktivieren.,"- Kein Login mehr
- Extension in PBX gesperrt",P0,5,5,"backend,tenant-admin,integration",Urgent,Backlog,E5 Tenant Benutzerverwaltung
E5-5,Story,E5 Tenant Benutzerverwaltung,Rollen zuweisen,"Als Tenant-Admin möchte ich Rollen zuweisen (Administrator, Benutzer, Agent).","- Map auf RBAC
- Agent-Rolle vorbereitet für Phase 2 Queues",P1,3,5,"backend,tenant-admin,auth",High,Backlog,E5 Tenant Benutzerverwaltung
E6-1,Story,E6 Routing (read-only),Routing-Übersicht Tenant-Admin,Als Tenant-Admin möchte ich die Routing-Übersicht pro Durchwahl sehen.,"- Import aus PBX
- Keine Bearbeitung im MVP",P1,5,6,"frontend,backend,tenant-admin,routing",High,Backlog,E6 Routing (read-only)
E6-2,Story,E6 Routing (read-only),Admin sieht User-Weiterleitungen,Als Tenant-Admin möchte ich sehen welche Weiterleitungen ein User gesetzt hat.,- Link User-Detail → Forward-Rules read-only,P1,2,6,"frontend,tenant-admin,forwarding",High,Backlog,E6 Routing (read-only)
E7-1,Story,E7 PBX Provisioning Adapter,Abstrakter Provisioning-Port,Als System möchte ich einen abstrakten Provisioning-Port.,"- Interface: applyForwardRules, createExtension, deactivateExtension",P0,5,1,"backend,integration",Urgent,Backlog,E7 PBX Provisioning Adapter
E7-2,Story,E7 PBX Provisioning Adapter,Job-Queue für Provisioning,Als System möchte ich Jobs in einer Queue verarbeiten.,"- Redis/RabbitMQ Worker
- Retry + Dead-Letter Queue",P0,5,4,"backend,infrastructure",Urgent,Backlog,E7 PBX Provisioning Adapter
E7-3,Story,E7 PBX Provisioning Adapter,desired_state vs actual_state,Als System möchte ich desired_state vs actual_state speichern.,"- Drift in UI anzeigbar
- provision_jobs Tabelle",P0,3,4,"backend,database",Urgent,Backlog,E7 PBX Provisioning Adapter
E7-4,Story,E7 PBX Provisioning Adapter,Mock-Adapter für Dev/CI,Als Entwickler möchte ich einen Mock-Adapter für lokale Entwicklung.,"- Ersetzt PBX in Dev/CI
- Contract-Tests gegen Interface",P0,5,1,"backend,testing,dx",Urgent,Backlog,E7 PBX Provisioning Adapter
E8-1,Story,E8 Frontend-Migration,Prototyp nach Vite migrieren,Als Entwickler möchte ich den Prototyp in ein Vite-Projekt überführen.,"- css/, js/, i18n/ Struktur
- Role Bar für Dev erhalten",P0,13,2,"frontend,dx",Urgent,Backlog,E8 Frontend-Migration
E8-2,Story,E8 Frontend-Migration,Mobile Benutzerportal,Als Endnutzer möchte ich das Benutzerportal mobil nutzen.,"- Bottom-Nav ≤768px wie Prototyp
- Responsive Layout",P0,5,2,"frontend,user-portal",Urgent,Backlog,E8 Frontend-Migration
E8-3,Story,E8 Frontend-Migration,API-Client statt showToast,Als Entwickler möchte ich API-Calls für MVP-Flows.,"- Fehlerbehandlung und Loading-States
- Kein showToast für Persistenz",P0,5,2,"frontend,api",Urgent,Backlog,E8 Frontend-Migration
E8-4,Story,E8 Frontend-Migration,Hilfe/Tutorials beibehalten,Als Endnutzer möchte ich Hilfe/Tutorials weiter nutzen.,"- Statische Tutorials clientseitig
- i18n für Tutorial-Texte",P2,3,6,"frontend,user-portal",Medium,Backlog,E8 Frontend-Migration
H-1,Task,Hardening & Pilot,E2E-Tests Kernflows,"End-to-End Tests für Login, Forwarding, User CRUD, CDR.","- Mindestens 1 E2E pro Epic E1–E5
- Läuft in CI",P0,8,6,"testing,qa",Urgent,Backlog,Hardening & Pilot
H-2,Task,Hardening & Pilot,Mandanten-Isolation Security-Tests,Verifizieren dass Cross-Tenant-Zugriff unmöglich ist.,"- Automatisierte Tests für 403-Szenarien
- Pen-Test light",P0,5,6,"security,testing",Urgent,Backlog,Hardening & Pilot
H-3,Task,Hardening & Pilot,Pilot-Mandant Go-Live,1 Pilot-Mandant mit 20–50 Usern produktiv schalten.,"- Runbook für Support
- Monitoring-Dashboard
- Rollback-Plan",P0,5,6,"devops,pilot",Urgent,Backlog,Hardening & Pilot
P2-1,Story,Phase 2,Hunt Groups & Queues,Hunt Groups und Warteschlangen verwalten,,P2,13,,phase-2,Low,Backlog,Phase 2
P2-2,Story,Phase 2,Geräte-Provisioning,"TENANT_DEVICES, Firmware, TR-069",,P2,13,,phase-2,Low,Backlog,Phase 2
P2-3,Story,Phase 2,Adressbuch + LDAP,Adressbuch mit LDAP/365-Sync,,P2,8,,phase-2,Low,Backlog,Phase 2
P2-4,Story,Phase 2,Shop & Orders,Nummernshop und Bestellungen,,P2,13,,phase-2,Low,Backlog,Phase 2
P2-5,Story,Phase 2,Super-Admin Billing,Mandanten und Billing-Übersicht,,P2,13,,phase-2,Low,Backlog,Phase 2
P2-6,Story,Phase 2,Service Management Trunks,TRUNKS und Traffic-Monitoring,,P2,8,,phase-2,Low,Backlog,Phase 2
P2-7,Story,Phase 2,Voicemail Audio & Recording,Audio-Wiedergabe und Aufnahme Self-Service,,P2,8,,phase-2,Low,Backlog,Phase 2
P2-8,Story,Phase 2,Persönliche Anruffilter,up-settings Filterlisten,,P2,5,,phase-2,Low,Backlog,Phase 2
